日期,開盤,最高,最低,收盤,1d,5d,成交值千元,外資買賣超金額,投信買賣超金額,自營商買賣超金額,融資餘額張數,融券餘額張數
20180102,53.4,54.4,53.3,54.2,1,1,854169.25,168052.8,4607,2601.6,22037,1126
20180103,54.8,55.4,54.3,55.2,1,1,1767028,524797,-31243.2,51280.8,20979,1397
20180104,55.3,55.4,54.5,55.4,1,0,955005.63,103853.56,23434.2,-61660.2,20701,1431
20180105,55.3,55.8,55,55.7,0,0,1232707.13,170801.77,-58874.9,28239.9,20601,1460
20180108,55.8,55.8,55,55.7,1,1,1236187.75,105977.44,891.2,-33197.2,19793,1505
20180109,55.7,55.8,55.2,55.8,0,1,707716.63,-13205.01,4464,7477.2,19538,1512
20180110,56.5,56.7,55.6,55.6,0,1,1817048.5,213583.84,199548.41,32192.4,18663,1401
20180111,55.8,55.9,55,55.4,1,1,897478.63,106883.05,3656.4,-40774.4,19018,1365
20180112,55.5,55.9,55.3,55.6,1,1,667971.88,115825.2,2335.2,7728.4,18792,1379
20180115,56,56.6,55.9,56.5,1,0,1403239.5,396168.22,71133.5,37177,19017,1501
20180116,56.5,56.8,56.2,56.6,0,0,988455.69,921.28,-2886.6,11433.2,18756,1521
20180117,56.3,56.4,55.8,56.3,0,0,955808.81,119759.73,0,-63393.8,18741,1444
20180118,56.5,56.5,55.8,55.9,1,0,818172.75,171112.58,-100564.1,503.1,18636,1267
20180119,55.7,56.2,55.6,56,0,0,569829.44,-14293.05,1736,-43904,17945,1259
20180122,55.8,56.1,55.2,55.6,1,0,1043341.94,59047.2,-80731.2,-15901.6,16949,1239
20180123,55.8,56.5,55.3,56,0,0,844080.06,395610.53,5040,-47936,16774,1285
20180124,55.8,55.9,55,55.7,0,0,1029797.13,284433.16,5561.25,-85388.1,16698,1236
20180125,55.7,56.1,55.2,55.6,0,0,998621.5,240253.27,-50484.8,12510,16406,1240
20180126,55.3,55.3,54.5,54.7,1,0,1265566.88,-291605.69,-44252.3,-66734,16588,933
20180129,55,55.2,54.6,55.2,0,0,879799.69,103647.33,8280,10101.6,16318,941
20180130,55,55.1,54.4,54.4,1,0,714272.69,-37756.97,2012.8,-44553.6,16182,929
20180131,54,55,53.8,54.6,1,0,964780.5,87717.36,-27463.8,-18181.8,16053,951
20180201,54.7,55.2,54.6,54.8,0,0,586057.69,59105.69,-3342.8,-31400.4,15618,982
20180202,54.5,55,54.4,54.7,0,0,512792.47,-31581.21,-19035.6,-6782.8,15504,985
20180205,53.5,54.1,53.5,54.1,0,0,789818.31,59930.73,4923.1,-54316.4,15200,1016
20180206,52.1,52.5,50.5,50.8,1,1,1972706.13,-372526.56,12801.6,-131368.8,13902,738
20180207,52.4,53.5,52,52.7,1,1,1455338.5,365775.56,-2424.2,2582.3,12929,827
20180208,53.3,53.5,52.8,53.3,0,1,764486.63,-27616.38,56977.7,-10713.3,13510,966
20180209,52.1,53.3,52,52.8,1,1,1163314.13,-540392.19,46094.4,-31310.4,14184,897
20180212,53.8,53.8,53,53,1,1,940077.69,-463614.47,50774,-6413,14203,835
