日期,1d,5d,開盤,最高,最低,收盤,成交值千元,外資買賣超金額,投信買賣超金額,自營商買賣超金額,融資餘額張數,融券餘額張數,開盤2,最高2,最低2,收盤2,成交值千元2,外資買賣超金額2,投信買賣超金額2,自營商買賣超金額2,融資餘額張數2,融券餘額張數2
20170103,0,1,48.1,48.2,47.7,48,293195.63,-12480,-1440,-35616,21667,4545,2313.61,2323.24,2275.29,2304,85963677451,155750400,2073600,1268499456,469458889,20657025
20170104,1,1,48.35,48.35,47.75,47.9,461387.88,8552.35,-8574.1,-12741.4,21563,4422,2337.7225,2337.7225,2280.0625,2294.41,2.12879E+11,73142690.52,73515190.81,162343274,464962969,19554084
20170105,1,1,47.9,48.4,47.9,48.4,708032.56,44164.52,968,52998,21917,4401,2294.41,2342.56,2294.41,2342.56,5.0131E+11,1950504827,937024,2808788004,480354889,19368801
20170106,1,0,48.8,48.8,48.15,48.75,850128,324610.16,5898.75,-40072.5,21405,4448,2381.44,2381.44,2318.4225,2376.5625,7.22718E+11,1.05372E+11,34795251.56,1605805256,458174025,19784704
20170109,1,0,48.75,49.2,48.75,49,738486,276888.41,-4900,-38171,21180,4634,2376.5625,2420.64,2376.5625,2401,5.45362E+11,76667191592,24010000,1457025241,448592400,21473956
20170110,0,0,48.95,49.2,48.25,49.2,745353.38,292128.16,-15498,-17761.2,20973,4838,2396.1025,2420.64,2328.0625,2420.64,5.55552E+11,85338861865,240188004,315460225.4,439866729,23406244
20170111,0,0,49.4,49.4,48.8,49,809822.13,356467.56,-30625,-1519,20479,4859,2440.36,2440.36,2381.44,2401,6.55812E+11,1.27069E+11,937890625,2307361,419389441,23609881
20170112,0,0,49.1,49.3,48.65,48.7,903931.13,85410.16,9740,2775.9,20610,4831,2410.81,2430.49,2366.8225,2371.69,8.17091E+11,7294895431,94867600,7705620.81,424772100,23338561
20170113,0,0,48.7,48.7,48.1,48.4,795839.5,143773.45,-31314.8,-5033.6,20915,4670,2371.69,2371.69,2313.61,2342.56,6.33361E+11,20670804925,980616699,25337128.96,437437225,21808900
20170116,1,1,48,48.05,47.2,47.3,1037611.56,-390605.75,-25920.4,-7426.1,20770,4248,2304,2308.8025,2227.84,2237.29,1.07664E+12,1.52573E+11,671867136.2,55146961.21,431392900,18045504
20170117,0,0,46.8,47.65,46.8,47.5,841648.25,16449.2,7077.5,13727.5,20938,4247,2190.24,2270.5225,2190.24,2256.25,7.08372E+11,270576180.6,50091006.25,188444256.3,438399844,18037009
20170118,0,0,47.05,47.45,46.75,46.95,1025112.94,-107073.38,-21550.05,1737.15,21623,3909,2213.7025,2251.5025,2185.5625,2204.3025,1.05086E+12,11464708705,464404655,3017690.123,467554129,15280281
20170119,1,0,46.9,46.95,46.6,46.85,968473.25,47484.07,-17053.4,20895.1,22316,3763,2199.61,2204.3025,2171.56,2194.9225,9.3794E+11,2254736904,290818451.6,436605204,498003856,14160169
20170120,1,1,47,47.3,46.7,47.15,798003.81,278185.72,-32627.8,12777.65,22712,3645,2209,2237.29,2180.89,2223.1225,6.3681E+11,77387294812,1064573333,163268339.5,515834944,13286025
20170123,1,1,47.4,47.55,46.95,47.4,1017727.25,255381.39,-37803.16,-8342.4,22757,3366,2246.76,2261.0025,2204.3025,2246.76,1.03577E+12,65219654358,1429078906,69595637.76,517881049,11329956
20170124,0,1,47.4,47.5,46.95,47.5,876004.13,251550.92,-11732.5,2422.5,22449,3435,2246.76,2256.25,2204.3025,2256.25,7.67383E+11,63277865353,137651556.3,5868506.25,503957601,11799225
20170202,0,1,47.5,47.55,46.9,46.9,1340273.38,-104216.26,-3517.5,-24200.4,21981,3288,2256.25,2261.0025,2199.61,2199.61,1.79633E+12,10861028848,12372806.25,585659360.2,483164361,10810944
20170203,1,1,46.9,47.15,46.55,46.65,858273.81,-171313.83,-77952.15,-11382.6,21901,3125,2199.61,2223.1225,2166.9025,2176.2225,7.36634E+11,29348428349,6076537690,129563582.8,479653801,9765625
20170206,0,1,46.7,48.4,46.65,48.2,1845963,523504.72,-5302,125271.8,21242,3167,2180.89,2342.56,2176.2225,2323.24,3.40758E+12,2.74057E+11,28111204,15693023875,451222564,10029889
20170207,0,1,48.2,48.25,47.75,48,894501.5,154179.94,36432,-74784,21595,3137,2323.24,2328.0625,2280.0625,2304,8.00133E+11,23771453898,1327290624,5592646656,466344025,9840769
20170208,0,1,48.2,48.3,47.7,47.85,987885.25,147611.7,42634.35,-8517.3,20800,3150,2323.24,2332.89,2275.29,2289.6225,9.75917E+11,21789213977,1817687800,72544399.29,432640000,9922500
20170209,1,1,47.85,48,47.7,47.7,633945.63,-15742.19,-17887.5,2337.3,20892,3076,2289.6225,2304,2275.29,2275.29,4.01887E+11,247816546,319962656.3,5462971.29,436475664,9461776
20170210,0,1,48.2,49.4,48.05,48.3,2103862.75,582011.88,-8017.8,147556.5,21364,3152,2323.24,2440.36,2308.8025,2332.89,4.42624E+12,3.38738E+11,64285116.84,21772920692,456420496,9935104
20170213,1,1,49.1,49.1,48.15,48.25,641311.31,-60892.66,-5404,-22774,21509,3087,2410.81,2410.81,2318.4225,2328.0625,4.1128E+11,3707916042,29203216,518655076,462637081,9529569
20170214,1,1,48.25,49,48.25,48.6,1333931.25,150323.2,-52342.2,21238.2,21563,3118,2328.0625,2401,2328.0625,2361.96,1.77937E+12,22597064458,2739705901,451061139.2,464962969,9721924
20170215,1,1,48.9,49,48.65,48.9,986926.81,454489.81,-7335,440.1,21115,3208,2391.21,2401,2366.8225,2391.21,9.74025E+11,2.06561E+11,53802225,193688.01,445843225,10291264
20170216,1,0,49.45,49.6,49,49.05,1497223,429581.38,-637.65,24230.7,21548,3283,2445.3025,2460.16,2401,2405.9025,2.24168E+12,1.8454E+11,406597.5225,587126822.5,464316304,10778089
20170217,0,0,49.2,49.4,48.75,49.25,864757.19,421160.03,-5762.25,31520,20732,3326,2420.64,2440.36,2376.5625,2425.5625,7.47805E+11,1.77376E+11,33203525.06,993510400,429815824,11062276
20170218,0,0,49.25,49.25,48.95,49,182051.08,-490,1421,39543,20447,3300,2425.5625,2425.5625,2396.1025,2401,33142595729,240100,2019241,1563648849,418079809,10890000
20170220,1,0,49,49.25,48.95,49,450517.69,54877.8,-36995,17542,20041,3329,2401,2425.5625,2396.1025,2401,2.02966E+11,3011572933,1368630025,307721764,401641681,11082241
20170221,0,0,49,49.2,48.95,49.2,611175.31,284961.88,-4428,15744,19190,3340,2401,2420.64,2396.1025,2420.64,3.73535E+11,81203273053,19607184,247873536,368256100,11155600
20170222,0,0,49.4,49.5,48.65,48.8,776283.88,-25735.56,-2440,29914.4,19501,3288,2440.36,2450.25,2366.8225,2381.44,6.02617E+11,662319048.5,5953600,894871327.4,380289001,10810944
20170223,0,1,48.8,48.9,48.5,48.6,658969.44,160408.19,-33728.4,23716.8,18532,3297,2381.44,2391.21,2352.25,2361.96,4.34241E+11,25730787419,1137604967,562486602.2,343435024,10870209
20170224,0,1,48.5,48.55,48.25,48.25,753559.38,-311233.94,-8860.29,44776,18635,3103,2352.25,2357.1025,2328.0625,2328.0625,5.67852E+11,96866565408,78504738.88,2004890176,347263225,9628609
20170301,1,1,48.2,48.3,47.85,47.85,700998.38,-151668.95,4785,-4402.2,18167,3057,2323.24,2332.89,2289.6225,2289.6225,4.91399E+11,23003470394,22896225,19379364.84,330039889,9345249
20170302,0,1,48.85,49.5,48.1,48.75,1990868.5,167668.02,14088.75,127920,19234,3220,2386.3225,2450.25,2313.61,2376.5625,3.96356E+12,28112564931,198492876.6,16363526400,369946756,10368400
20170303,1,1,48.5,48.9,48.4,48.4,936685.81,-167194.31,53772.4,-21392.8,19617,3143,2352.25,2391.21,2342.56,2342.56,8.7738E+11,27953937296,2891471002,457651891.8,384826689,9878449
20170306,0,1,48.35,49,48.35,49,696887.81,215702.7,8330,-16464,19217,3094,2337.7225,2401,2337.7225,2401,4.85653E+11,46527654787,69388900,271063296,369293089,9572836
20170307,1,1,49,49.2,48.8,49,693018.63,82164.13,43414,-60466,19165,3106,2401,2420.64,2381.44,2401,4.80275E+11,6750944259,1884775396,3656137156,367297225,9647236
20170308,0,1,49,49.95,49,49.85,1548632.25,490380.84,0,167446.16,18148,3456,2401,2495.0025,2401,2485.0225,2.39826E+12,2.40473E+11,0,28038216499,329349904,11943936
20170309,1,1,50,50.1,49.55,49.75,972909.63,110106.4,17064.25,-8358,18439,3461,2500,2510.01,2455.2025,2475.0625,9.46553E+11,12123419321,291188628.1,69856164,339996721,11978521
20170310,1,1,49.95,50.4,49.35,50,1478213.63,538392.63,82350,37550,18833,3487,2495.0025,2540.16,2435.4225,2500,2.18512E+12,2.89867E+11,6781522500,1410002500,354681889,12159169
20170313,1,1,50.4,51,50.2,50.8,1581680.38,600070.19,33680.4,46380.4,17558,3642,2540.16,2601,2520.04,2580.64,2.50171E+12,3.60084E+11,1134369344,2151141504,308283364,13264164
20170314,1,0,51,51.2,50.5,51,1395619.13,829399.25,19941,-114087,15993,3754,2601,2621.44,2550.25,2601,1.94775E+12,6.87903E+11,397643481,13015843569,255776049,14092516
20170315,0,0,51.1,51.2,50.6,51.2,936977.94,360084.22,11417.6,-82227.2,15927,3832,2611.21,2621.44,2560.36,2621.44,8.77928E+11,1.29661E+11,130361589.8,6761312420,253669329,14684224
20170316,0,0,50.8,51.1,50.5,51,1109187,125548.28,0,-79101,15598,3741,2580.64,2611.21,2550.25,2601,1.2303E+12,15762370611,0,6256968201,243297604,13995081
20170317,1,0,50.9,51.1,50.6,51,1185452.25,71130.67,-21726,-6018,15843,3695,2590.81,2611.21,2560.36,2601,1.4053E+12,5059572215,472019076,36216324,251000649,13653025
20170320,0,0,50.6,51.1,50.4,51.1,519462.38,22739.5,0,9862.3,15837,3728,2560.36,2611.21,2540.16,2611.21,2.69841E+11,517084860.3,0,97264961.29,250810569,13897984
