日期,開盤,最高,最低,收盤,1d,5d,成交值千元,外資買賣超金額,投信買賣超金額,自營商買賣超金額,融資餘額張數,融券餘額張數
20170103,48.1,48.2,47.7,48,0,1,293195.63,-12480,-1440,-35616,21667,4545
20170104,48.35,48.35,47.75,47.9,1,1,461387.88,8552.35,-8574.1,-12741.4,21563,4422
20170105,47.9,48.4,47.9,48.4,1,1,708032.56,44164.52,968,52998,21917,4401
20170106,48.8,48.8,48.15,48.75,1,0,850128,324610.16,5898.75,-40072.5,21405,4448
20170109,48.75,49.2,48.75,49,1,0,738486,276888.41,-4900,-38171,21180,4634
20170110,48.95,49.2,48.25,49.2,0,0,745353.38,292128.16,-15498,-17761.2,20973,4838
20170111,49.4,49.4,48.8,49,0,0,809822.13,356467.56,-30625,-1519,20479,4859
20170112,49.1,49.3,48.65,48.7,0,0,903931.13,85410.16,9740,2775.9,20610,4831
20170113,48.7,48.7,48.1,48.4,0,0,795839.5,143773.45,-31314.8,-5033.6,20915,4670
20170116,48,48.05,47.2,47.3,1,1,1037611.56,-390605.75,-25920.4,-7426.1,20770,4248
20170117,46.8,47.65,46.8,47.5,0,0,841648.25,16449.2,7077.5,13727.5,20938,4247
20170118,47.05,47.45,46.75,46.95,0,0,1025112.94,-107073.38,-21550.05,1737.15,21623,3909
20170119,46.9,46.95,46.6,46.85,1,0,968473.25,47484.07,-17053.4,20895.1,22316,3763
20170120,47,47.3,46.7,47.15,1,1,798003.81,278185.72,-32627.8,12777.65,22712,3645
20170123,47.4,47.55,46.95,47.4,1,1,1017727.25,255381.39,-37803.16,-8342.4,22757,3366
20170124,47.4,47.5,46.95,47.5,0,1,876004.13,251550.92,-11732.5,2422.5,22449,3435
20170202,47.5,47.55,46.9,46.9,0,1,1340273.38,-104216.26,-3517.5,-24200.4,21981,3288
20170203,46.9,47.15,46.55,46.65,1,1,858273.81,-171313.83,-77952.15,-11382.6,21901,3125
20170206,46.7,48.4,46.65,48.2,0,1,1845963,523504.72,-5302,125271.8,21242,3167
20170207,48.2,48.25,47.75,48,0,1,894501.5,154179.94,36432,-74784,21595,3137
